feature,avg_rank,h_rank,l_rank
X539,8.103703703703705,2,81
X39950,8.647058823529411,1,57
X1528099,10.720779220779221,3,52
X34085,10.931818181818182,2,75
X84112,10.940677966101696,2,62
X817,11.758620689655173,1,49
X1246,11.994186046511627,2,57
X649756,12.982300884955752,1,89
X1245,13.035714285714286,2,86
X702967,13.109756097560975,6,21
X1297617,13.166666666666666,1,50
X239935,14.0,2,91
X28037,14.012738853503185,1,89
X216816,14.066037735849056,2,80
X28132,14.878980891719745,3,126
X29466,14.982658959537572,3,53
X1601,15.523076923076923,2,68
X818,15.968354430379748,2,80
X1683,17.093567251461987,6,50
X28118,17.414414414414413,2,112
X1871021,17.525,2,125
X1328,19.778523489932887,2,91
X1308,20.196428571428573,2,74
X52773,21.696,2,79
X1912856,22.65359477124183,2,90
X1747,23.174157303370787,3,108
X1736,23.365714285714287,5,82
X1494,23.503355704697988,2,81
X1309,24.573863636363637,2,82
X1225789,24.587570621468927,4,94
X69966,25.53038674033149,2,37
X1282,25.818713450292396,2,92
X860,26.261363636363637,2,76
X1160721,26.95402298850575,2,82
X1572656,28.0,4,121
X1346,29.519553072625698,2,93
X1599,29.983425414364643,3,78
X53345,30.162921348314608,2,61
X1307,30.579268292682926,2,100
X1147150,30.717514124293785,8,38
X544580,31.43820224719101,2,160
X46867,33.425414364640886,2,78
X287,34.99444444444445,4,77
X1156433,35.02247191011236,3,154
X51663,36.95,2,86
X1712675,37.59550561797753,2,98
X102684,38.4585635359116,6,90
X1147143,38.56741573033708,8,61
X1539298,38.87222222222222,2,102
X294,40.595628415300546,6,89
X61645,42.10989010989011,2,93
X2756,45.224043715846996,2,215
X1463165,46.0,38,55
X1685,46.19230769230769,2,87
X76832,46.24309392265194,2,152
X630,46.59217877094972,9,96
X1604,47.21111111111111,8,209
X1871025,49.91160220994475,10,91
X1813821,50.202185792349724,3,59
X1304,51.244565217391305,3,115
X292800,52.721311475409834,2,126
X2025876,53.49444444444445,2,146
X244366,53.74175824175824,46,86
X1889813,54.45303867403315,12,204
X1216932,56.41530054644809,2,134
X44742,57.22950819672131,11,84
X1702221,57.28804347826087,11,111
X10761,57.34615384615385,3,69
