feature,avg_rank,count,h_rank,l_rank
X817 - X1297617,1.0459770114942528,87,1,4
X39950 - X1297617,1.2151898734177216,79,1,15
X817 - X39950,1.3717948717948718,78,1,25
X1601 - X1297617,1.0163934426229508,61,1,2
X1601 - X39950,1.0,56,1,1
X817 - X1601,1.04,50,1,3
X649756 - X1297617,1.4615384615384615,39,1,15
X817 - X649756,1.1142857142857143,35,1,4
X39950 - X649756,1.4411764705882353,34,1,15
X216816 - X1297617,1.121212121212121,33,1,3
X817 - X216816,1.1481481481481481,27,1,4
X28118 - X1297617,1.0384615384615385,26,1,2
X52773 - X1297617,1.56,25,1,15
X817 - X28118,1.2083333333333333,24,1,5
X28118 - X39950,1.2083333333333333,24,1,5
X84112 - X1297617,1.0869565217391304,23,1,3
X1601 - X216816,1.0454545454545454,22,1,2
X39950 - X216816,1.0952380952380953,21,1,3
X817 - X84112,1.105263157894737,19,1,3
X1601 - X649756,1.0,18,1,1
X1601 - X84112,1.1666666666666667,18,1,3
X1297617 - X1871021,1.5,18,1,8
X39950 - X84112,1.0,16,1,1
X817 - X52773,1.25,16,1,4
X52773 - X216816,1.3125,16,1,4
X817 - X28037,2.6875,16,1,25
X1601 - X1871021,1.1333333333333333,15,1,3
X817 - X34085,1.0714285714285714,14,1,2
X28037 - X1297617,1.2142857142857142,14,1,4
X1601 - X52773,1.0,13,1,1
X34085 - X1297617,1.0769230769230769,13,1,2
X817 - X1871021,1.2307692307692308,13,1,3
X84112 - X216816,1.2307692307692308,13,1,3
X28037 - X39950,2.8461538461538463,13,1,25
X1601 - X28118,1.0,12,1,1
X239935 - X1297617,1.0,12,1,1
X28118 - X649756,1.0833333333333333,12,1,2
X39950 - X1871021,1.1666666666666667,12,1,3
X34085 - X39950,1.0909090909090908,11,1,2
X39950 - X52773,2.272727272727273,11,1,15
X817 - X818,1.0,10,1,1
X539 - X1297617,1.0,10,1,1
X28118 - X216816,1.0,10,1,1
X702967 - X1297617,4.6,10,1,37
X817 - X702967,1.0,9,1,1
X39950 - X702967,1.0,9,1,1
X818 - X216816,1.1111111111111112,9,1,2
X817 - X1308,1.2222222222222223,9,1,3
X216816 - X1871021,1.3333333333333333,9,1,3
X817 - X239935,1.4444444444444444,9,1,4
X1245 - X1297617,1.7777777777777777,9,1,8
X1246 - X1297617,1.0,8,1,1
X818 - X1297617,1.0,8,1,1
X539 - X817,1.0,8,1,1
X34085 - X649756,1.125,8,1,2
X817 - X1245,1.0,7,1,1
X1308 - X1297617,1.0,7,1,1
X817 - X28132,1.0,7,1,1
X39950 - X239935,1.0,7,1,1
X539 - X1601,1.0,7,1,1
X539 - X39950,1.0,7,1,1
X28118 - X84112,1.0,7,1,1
X1601 - X34085,1.0,7,1,1
X1297617 - X1528099,1.2857142857142858,7,1,3
X52773 - X239935,1.5714285714285714,7,1,4
X28132 - X1297617,2.0,7,1,8
X1328 - X1297617,6.142857142857143,7,1,37
X818 - X1601,1.0,6,1,1
X1683 - X1297617,1.0,6,1,1
X649756 - X1871021,1.0,6,1,1
X1308 - X39950,1.0,6,1,1
X817 - X860,1.0,6,1,1
X1601 - X702967,1.0,6,1,1
X1601 - X28037,1.0,6,1,1
X84112 - X649756,1.0,6,1,1
X52773 - X84112,1.0,6,1,1
X216816 - X1912856,1.0,6,1,1
X39950 - X1912856,1.6666666666666667,6,1,5
X817 - X1328,1.6666666666666667,6,1,5
X216816 - X239935,1.6666666666666667,6,1,4
X1494 - X1297617,2.1666666666666665,6,1,8
X817 - X1246,1.0,5,1,1
X1246 - X39950,1.0,5,1,1
X817 - X1683,1.0,5,1,1
X1683 - X39950,1.0,5,1,1
X1309 - X1297617,1.0,5,1,1
X28132 - X39950,1.0,5,1,1
X860 - X1297617,1.0,5,1,1
X1601 - X1147150,1.0,5,1,1
X1494 - X39950,1.0,5,1,1
X539 - X216816,1.0,5,1,1
X216816 - X649756,1.0,5,1,1
X1147150 - X1297617,1.0,5,1,1
X34085 - X52773,1.0,5,1,1
X28118 - X34085,1.2,5,1,2
X1328 - X39950,1.8,5,1,5
X1246 - X1601,1.0,4,1,1
X1246 - X649756,1.0,4,1,1
X1245 - X649756,1.0,4,1,1
X818 - X39950,1.0,4,1,1
X1601 - X28132,1.0,4,1,1
X630 - X817,1.0,4,1,1
X1601 - X239935,1.0,4,1,1
X1601 - X1147143,1.0,4,1,1
X1225789 - X1297617,1.0,4,1,1
X1328 - X1601,1.0,4,1,1
X817 - X1494,1.0,4,1,1
X817 - X1160721,1.0,4,1,1
X28118 - X1871021,1.0,4,1,1
X817 - X29466,1.0,4,1,1
X1601 - X29466,1.0,4,1,1
X29466 - X1297617,1.0,4,1,1
X28118 - X52773,1.0,4,1,1
X1297617 - X1912856,1.0,4,1,1
X1601 - X1912856,1.0,4,1,1
X1297617 - X1572656,1.0,4,1,1
X1736 - X1297617,1.0,4,1,1
X34085 - X84112,1.0,4,1,1
X539 - X818,1.0,4,1,1
X1307 - X1297617,1.0,4,1,1
X818 - X34085,1.0,4,1,1
X818 - X52773,1.25,4,1,2
X1601 - X1736,1.5,4,1,3
X1736 - X1871021,1.5,4,1,3
X39950 - X1528099,1.5,4,1,3
X1308 - X1601,1.5,4,1,3
X1328 - X28118,2.0,4,1,5
X817 - X1912856,2.0,4,1,5
X28118 - X1912856,2.0,4,1,5
X52773 - X649756,4.5,4,1,15
X1604 - X1297617,11.0,4,1,37
X1601 - X1683,1.0,3,1,1
X1309 - X1601,1.0,3,1,1
X817 - X102684,1.0,3,1,1
X817 - X2025876,1.0,3,1,1
X39950 - X2025876,1.0,3,1,1
X102684 - X649756,1.0,3,1,1
X1308 - X649756,1.0,3,1,1
X1346 - X1297617,1.0,3,1,1
X630 - X1297617,1.0,3,1,1
X239935 - X702967,1.0,3,1,1
X1245 - X1599,1.0,3,1,1
X1601 - X1160721,1.0,3,1,1
X817 - X1309,1.0,3,1,1
X817 - X1225789,1.0,3,1,1
X817 - X1528099,1.0,3,1,1
X52773 - X702967,1.0,3,1,1
X1747 - X1297617,1.0,3,1,1
X34085 - X702967,1.0,3,1,1
X1494 - X1601,1.0,3,1,1
X539 - X1871021,1.0,3,1,1
X817 - X53345,1.0,3,1,1
X1245 - X39950,1.0,3,1,1
X860 - X39950,1.0,3,1,1
X52773 - X1539298,1.0,3,1,1
X1297617 - X1539298,1.0,3,1,1
X818 - X84112,1.0,3,1,1
X1308 - X28037,1.0,3,1,1
X1494 - X84112,1.0,3,1,1
X1494 - X216816,1.0,3,1,1
X1246 - X84112,1.0,3,1,1
X39950 - X1147150,1.0,3,1,1
X539 - X28118,1.0,3,1,1
X818 - X28118,1.0,3,1,1
X84112 - X1147143,1.0,3,1,1
X1147143 - X1297617,1.0,3,1,1
X84112 - X239935,1.0,3,1,1
X1494 - X28118,1.0,3,1,1
X34085 - X216816,1.0,3,1,1
X34085 - X1160721,1.0,3,1,1
X216816 - X1160721,1.0,3,1,1
X84112 - X1539298,1.3333333333333333,3,1,2
X216816 - X1539298,1.3333333333333333,3,1,2
X239935 - X1871021,1.3333333333333333,3,1,2
X1308 - X84112,1.6666666666666667,3,1,3
X1736 - X84112,1.6666666666666667,3,1,3
X84112 - X1871021,1.6666666666666667,3,1,3
X28037 - X649756,2.0,3,1,4
X1245 - X1871021,3.3333333333333335,3,1,8
X39950 - X1160721,5.666666666666667,3,1,15
X1160721 - X1297617,5.666666666666667,3,1,15
X52773 - X1160721,5.666666666666667,3,1,15
X287 - X1297617,13.0,3,1,37
X1245 - X1246,1.0,2,1,1
X1309 - X39950,1.0,2,1,1
X1309 - X1871021,1.0,2,1,1
X39950 - X102684,1.0,2,1,1
X817 - X1346,1.0,2,1,1
X1346 - X39950,1.0,2,1,1
X630 - X1601,1.0,2,1,1
X630 - X39950,1.0,2,1,1
X539 - X649756,1.0,2,1,1
X817 - X1599,1.0,2,1,1
X817 - X1147143,1.0,2,1,1
X817 - X1147150,1.0,2,1,1
X1147143 - X1147150,1.0,2,1,1
X52773 - X1528099,1.0,2,1,1
X1246 - X1747,1.0,2,1,1
X1246 - X28037,1.0,2,1,1
X1282 - X1747,1.0,2,1,1
X1282 - X1297617,1.0,2,1,1
X28037 - X702967,1.0,2,1,1
X28118 - X702967,1.0,2,1,1
X1328 - X649756,1.0,2,1,1
X1245 - X216816,1.0,2,1,1
X702967 - X1160721,1.0,2,1,1
X39950 - X1225789,1.0,2,1,1
X1601 - X1225789,1.0,2,1,1
X216816 - X1225789,1.0,2,1,1
X818 - X29466,1.0,2,1,1
